iter	Passed	Remaining
0	21	21904
1	51	25500
2	76	25322
3	103	25857
4	126	25079
5	147	24481
6	169	24019
7	191	23755
8	213	23502
9	234	23250
10	262	23606
11	285	23536
12	308	23439
13	331	23357
14	354	23263
15	376	23175
16	407	23536
17	429	23458
18	451	23328
19	482	23644
20	505	23542
21	528	23485
22	550	23387
23	573	23338
24	597	23308
25	620	23235
26	642	23149
27	664	23057
28	689	23074
29	710	22977
30	732	22895
31	754	22818
32	775	22737
33	798	22696
34	821	22649
35	843	22577
36	864	22491
37	886	22430
38	908	22378
39	935	22452
40	957	22389
41	979	22333
42	1000	22271
43	1026	22299
44	1049	22266
45	1071	22217
46	1093	22163
47	1123	22292
48	1147	22263
49	1172	22281
50	1194	22227
