Feature,Importance
return_90,0.02893854186152805
trix,0.024530623722402032
cci_20,0.02273765292763735
roc,0.020357932074848584
di_minus_14,0.019791503573711188
stochastic_k,0.019027252389942344
macd_histogram,0.018243433616237356
stochastic_d,0.018066657552124794
sma_200,0.01792889493403162
williams_r,0.017692233596983725
rsi_14_lag10,0.017220268859279693
return_180,0.016274981933700083
return_365,0.016130085184083688
return_55,0.01582267942784717
macd_line_lag10,0.015312834149858498
natr,0.01519953690174084
macd_signal,0.014852816882446194
adx_14,0.014762847646917224
macd_line,0.014605685282366743
rsi_14,0.014349636953619604
mfi_14,0.013926726034074115
macd_line_lag3,0.013796841375085555
ultosc,0.01368377330763132
atr_14_lag1,0.013433995999370873
macd_line_lag1,0.012949586366491486
rsi_14_lag1,0.012480621872434308
macd_line_lag5,0.012414442841648391
stddev,0.012351011898120245
macd_line_lag2,0.012300625091901577
di_plus_14,0.01225206557748815
atr_14_lag2,0.012103816140001283
rsi_14_lag5,0.012010808473026966
sma_50,0.011896679735703191
bollinger_lower,0.011838629752569465
atr_14,0.011758557066712636
var,0.011726853196053237
return_20,0.011714745194716571
atr_14_lag5,0.011597555141656932
close,0.011544748806766234
sma_20_lag10,0.011490250163136234
rsi_14_lag2,0.011024064005665125
rsi_14_lag3,0.01094019517137207
atr_14_lag10,0.010900860848942125
atr_14_lag3,0.01070418618319826
volume,0.01066973830218004
high_low_range,0.010280423457475724
ema_50,0.010229447623294308
volume_lag10,0.009970686748681953
close_open_range,0.009589806845413528
high,0.00952190957203649
volume_lag2,0.009451913742559364
volume_lag3,0.00926580787264032
volume_lag5,0.009180675916751525
volume_change,0.00888040547646579
low,0.008789275244660045
open_lag10,0.008719950217473965
price_change,0.008695351075443074
ema_20,0.008580568961514202
sma_20_lag5,0.008436865766305831
bollinger_upper,0.008244799112894273
prev_volume,0.008164263286277219
volume_lag1,0.008123613525158887
high_lag10,0.007967837977542597
bop,0.007951930416919972
low_lag10,0.00782438770074918
sma_20_lag3,0.007823781214881151
sma_20,0.0073925079745968516
close_lag1,0.007382607535092329
high_lag1,0.007280041366615879
sma_20_lag2,0.007265908015958275
prev_close,0.007263957406408681
bollinger_middle,0.0072191397679407816
close_lag10,0.007174640634863968
high_lag3,0.007070908895189668
sma_20_lag1,0.006895570630606645
low_lag5,0.00669355700817352
open,0.00665264074141462
close_lag5,0.006557267195951918
open_lag1,0.006461589046845577
high_lag5,0.006461443209919046
low_lag2,0.006261015379034632
open_lag3,0.0061399444071479955
low_lag1,0.006134287513672571
open_lag5,0.0060717291518324005
low_lag3,0.006000290534547708
close_lag2,0.00580617072164239
close_lag3,0.005728972195661987
high_lag2,0.005589223985431019
open_lag2,0.005445406909058955
