Feature,RF_Rank,LGBM_Rank,Avg_Rank
nifty_corr_120d,1,3,2.0
month,11,1,6.0
corr_change,8,4,6.0
nifty_corr_20d,7,5,6.0
trix,9,10,9.5
di_minus_14,5,14,9.5
day_of_month,20,2,11.0
dist_to_sma200,4,18,11.0
rs_nifty_120d,18,8,13.0
macd_line_lag20,6,20,13.0
adx_14,22,7,14.5
macd_histogram,14,19,16.5
return_120d,12,22,17.0
volume_oscillator,29,6,17.5
rsi_14_lag10,15,21,18.0
nifty_corr_60d,30,9,19.5
bollinger_width,28,11,19.5
macd_line_lag15,26,13,19.5
cci_20,10,32,21.0
natr,33,12,22.5
rs_nifty_20d,21,24,22.5
return_60d,24,23,23.5
di_plus_14,32,16,24.0
stochastic_k,13,35,24.0
dist_to_lower_band,19,34,26.5
stochastic_d,16,39,27.5
return_40d,31,25,28.0
roc,3,53,28.0
rs_nifty_60d,34,31,32.5
macd_line,23,42,32.5
ultosc,51,15,33.0
sector_strength,42,26,34.0
rs_nifty_10d,41,27,34.0
return_20d,40,33,36.5
zscore_20d,17,57,37.0
sma_200,39,36,37.5
mfi_14,27,50,38.5
macd_line_lag5,49,30,39.5
williams_r,25,58,41.5
rsi_14_lag20,47,37,42.0
macd_signal,44,40,42.0
macd_line_lag10,36,51,43.5
macd_line_lag1,35,54,44.5
stddev,64,29,46.5
rsi_14_lag15,57,38,47.5
atr_14_lag10,69,28,48.5
return_3d,55,43,49.0
atr_14_lag20,59,41,50.0
dist_to_upper_band,38,63,50.5
atr_14_lag15,56,48,52.0
high_low_range,58,47,52.5
rsi_14,37,68,52.5
atr_14,43,64,53.5
rsi_14_lag2,46,70,58.0
rsi_14_lag5,60,56,58.0
macd_line_lag3,50,67,58.5
volume_lag20,73,45,59.0
close_open_range,67,52,59.5
volume_lag1,68,55,61.5
eom_14d,80,44,62.0
rsi_14_lag3,54,74,64.0
atr_14_lag5,66,65,65.5
volume_change,82,49,65.5
atr_14_lag2,71,60,65.5
return_consistency,45,87,66.0
rs_nifty_5d,52,83,67.5
return_ratio_20_5,62,73,67.5
volume_lag10,61,77,69.0
volume_ratio_20d,78,62,70.0
volume_lag2,81,59,70.0
nifty_corr_full,126,17,71.5
close,65,79,72.0
volume_roc_5d,72,72,72.0
vpci_20d,99,46,72.5
return_5d,76,71,73.5
atr_14_lag1,63,91,77.0
volume_lag15,85,69,77.0
volume,88,66,77.0
volume_lag5,94,61,77.5
atr_14_lag3,70,86,78.0
rsi_14_lag1,74,85,79.5
sma_20_lag20,79,80,79.5
bollinger_upper,84,75,79.5
volume_roc_10d,77,84,80.5
return_10d,2,162,82.0
var,53,114,83.5
macd_line_lag2,75,93,84.0
ema_50,97,76,86.5
volume_lag3,86,88,87.0
atr_ratio,48,126,87.0
bollinger_lower,83,97,90.0
price_acceleration,100,81,90.5
price_change,93,92,92.5
low,96,94,95.0
sma_50,89,103,96.0
bop,111,82,96.5
sma_20_lag15,95,108,101.5
open_lag15,105,98,101.5
sma_20_lag10,92,115,103.5
volume_roc_1d,90,119,104.5
sma_20_lag5,104,112,108.0
close_lag10,118,99,108.5
high_lag15,106,111,108.5
high_lag20,112,106,109.0
close_lag15,110,109,109.5
low_lag10,130,89,109.5
open_lag20,103,117,110.0
high_lag10,120,100,110.0
volume_sma_5d,147,78,112.5
high,91,136,113.5
close_lag1,122,107,114.5
prev_volume,87,142,114.5
close_lag20,133,96,114.5
quarter,114,116,115.0
high_lag1,102,131,116.5
low_lag15,109,125,117.0
low_lag20,101,134,117.5
open,134,101,117.5
sma_20_lag2,113,124,118.5
open_lag10,116,121,118.5
is_quarter_3,148,90,119.0
sma_20,115,123,119.0
cmf_20d,143,95,119.0
high_lag3,125,113,119.0
ema_20,107,135,121.0
is_quarter_2,145,104,124.5
open_lag5,132,118,125.0
day_of_week,149,102,125.5
volume_sma_50d,150,105,127.5
low_lag1,123,133,128.0
volume_sma_20d,146,110,128.0
return_1d,98,160,129.0
open_lag2,138,122,130.0
high_lag2,131,129,130.0
low_lag3,117,145,131.0
low_lag5,142,120,131.0
prev_close,108,158,133.0
close_lag2,141,128,134.5
high_lag5,129,141,135.0
open_lag3,135,138,136.5
open_lag1,128,146,137.0
sma_20_lag3,136,140,138.0
sma_20_lag1,127,152,139.5
volume_sma_10d,152,127,139.5
bollinger_middle,119,163,141.0
vama_20d,121,161,141.0
is_quarter_4,140,144,142.0
close_lag3,137,147,142.0
low_lag2,139,148,143.5
market_regime,144,143,143.5
close_lag5,124,164,144.0
is_weekday_2,160,132,146.0
is_month_end,165,130,147.5
is_weekday_4,159,139,149.0
di_crossover,151,151,151.0
pvt,167,137,152.0
volume_trend,154,154,154.0
price_cmf_confirm,156,155,155.5
is_quarter_1,153,159,156.0
high_volume_signal,162,150,156.0
adx_trend_strength,157,156,156.5
is_year_end,166,153,159.5
price_rsi_divergence,163,157,160.0
is_weekday_1,155,165,160.0
breakout,171,149,160.0
is_weekday_3,158,166,162.0
is_weekday_5,161,167,164.0
is_month_start,164,168,166.0
is_quarter_start,168,169,168.5
is_year_start,170,170,170.0
is_quarter_end,169,171,170.0
