Feature,Importance
month,2032.1605100631714
day_of_month,1116.0643310546875
nifty_corr_120d,1009.8806855678558
corr_change,966.7780661582947
nifty_corr_20d,872.3355102539062
volume_oscillator,834.2848405838013
adx_14,604.9829680919647
rs_nifty_120d,582.0205318927765
nifty_corr_60d,514.940149307251
trix,503.3617296218872
bollinger_width,490.22293996810913
natr,480.6497993469238
macd_line_lag15,477.80070972442627
di_minus_14,477.7763204574585
ultosc,475.75528049468994
di_plus_14,471.80372190475464
nifty_corr_full,441.1140911579132
dist_to_sma200,420.7683801651001
macd_histogram,419.33382987976074
macd_line_lag20,418.4967498779297
rsi_14_lag10,416.1190972328186
return_120d,404.3385806083679
return_60d,400.7093093395233
rs_nifty_20d,388.4693579673767
return_40d,380.57829999923706
sector_strength,368.28778076171875
rs_nifty_10d,352.32243061065674
atr_14_lag10,350.0191617012024
stddev,346.1320786476135
macd_line_lag5,341.8948001861572
rs_nifty_60d,331.1482801437378
cci_20,319.77170991897583
return_20d,314.9192714691162
dist_to_lower_band,306.65056800842285
stochastic_k,281.42212104797363
sma_200,276.63860034942627
rsi_14_lag20,274.882089138031
rsi_14_lag15,269.7589385509491
stochastic_d,269.58771896362305
macd_signal,261.82221961021423
atr_14_lag20,259.0826690196991
macd_line,250.47775173187256
return_3d,249.15073037147522
eom_14d,248.07696962356567
volume_lag20,247.3185272216797
vpci_20d,245.3844096660614
high_low_range,244.3536298274994
atr_14_lag15,236.5538206100464
volume_change,233.07670879364014
mfi_14,232.12459135055542
macd_line_lag10,228.3019003868103
close_open_range,221.9452679157257
roc,210.44850063323975
macd_line_lag1,205.75499963760376
volume_lag1,198.17636060714722
rsi_14_lag5,196.07943964004517
zscore_20d,195.5591607093811
williams_r,184.02988028526306
volume_lag2,178.60056972503662
atr_14_lag2,177.01701045036316
volume_lag5,165.42164039611816
volume_ratio_20d,163.19898891448975
dist_to_upper_band,163.01543045043945
atr_14,162.09156942367554
atr_14_lag5,161.77551221847534
volume,158.60616874694824
macd_line_lag3,157.25809860229492
rsi_14,156.10163068771362
volume_lag15,155.51694893836975
rsi_14_lag2,153.7388300895691
return_5d,151.53737926483154
volume_roc_5d,151.48228979110718
return_ratio_20_5,148.39746952056885
rsi_14_lag3,142.72739124298096
bollinger_upper,138.98281240463257
ema_50,135.0724000930786
volume_lag10,132.47953128814697
volume_sma_5d,132.3215594291687
close,127.82295799255371
sma_20_lag20,127.35145902633667
price_acceleration,122.25675058364868
bop,117.92783117294312
rs_nifty_5d,116.97496032714844
volume_roc_10d,115.02273988723755
rsi_14_lag1,107.89584970474243
atr_14_lag3,107.54133081436157
return_consistency,105.29329013824463
volume_lag3,98.11494970321655
low_lag10,96.90898060798645
is_quarter_3,90.1953010559082
atr_14_lag1,86.04923963546753
price_change,73.91765975952148
macd_line_lag2,69.03137922286987
low,67.32305097579956
cmf_20d,62.65692949295044
close_lag20,59.223620891571045
bollinger_lower,56.93969964981079
open_lag15,56.86241865158081
close_lag10,56.482048988342285
high_lag10,55.95547008514404
open,52.942259788513184
day_of_week,51.7454195022583
sma_50,51.685800075531006
is_quarter_2,48.77449989318848
volume_sma_50d,46.318180561065674
high_lag20,46.254809856414795
close_lag1,45.81957125663757
sma_20_lag15,44.06398010253906
close_lag15,43.770859718322754
volume_sma_20d,43.665639877319336
high_lag15,42.961599349975586
sma_20_lag5,39.460880756378174
high_lag3,32.89317035675049
var,31.822070121765137
sma_20_lag10,31.742609977722168
quarter,31.39141035079956
open_lag20,29.670869827270508
open_lag5,29.615440368652344
volume_roc_1d,29.022709369659424
low_lag5,28.30879020690918
open_lag10,27.185799598693848
open_lag2,26.760339736938477
sma_20,26.103819847106934
sma_20_lag2,24.014500617980957
low_lag15,23.72329044342041
atr_ratio,23.131020069122314
volume_sma_10d,22.908340454101562
close_lag2,22.228700637817383
high_lag2,18.744020462036133
is_month_end,18.370669841766357
high_lag1,18.198269844055176
is_weekday_2,17.600830078125
low_lag1,17.055409908294678
low_lag20,16.81618022918701
ema_20,16.702569484710693
high,16.254379749298096
pvt,16.21360969543457
open_lag3,16.080339908599854
is_weekday_4,14.988950252532959
sma_20_lag3,11.657099723815918
high_lag5,11.165399551391602
prev_volume,9.998860359191895
market_regime,9.678520202636719
is_quarter_4,9.276809692382812
low_lag3,8.388460159301758
open_lag1,7.8201799392700195
close_lag3,7.798399925231934
low_lag2,7.6199798583984375
breakout,5.39346981048584
high_volume_signal,5.271639823913574
di_crossover,4.451000213623047
sma_20_lag1,0.0
is_year_end,0.0
volume_trend,0.0
price_cmf_confirm,0.0
adx_trend_strength,0.0
price_rsi_divergence,0.0
prev_close,0.0
is_quarter_1,0.0
return_1d,0.0
vama_20d,0.0
return_10d,0.0
bollinger_middle,0.0
close_lag5,0.0
is_weekday_1,0.0
is_weekday_3,0.0
is_weekday_5,0.0
is_month_start,0.0
is_quarter_start,0.0
is_year_start,0.0
is_quarter_end,0.0
