Feature,Pearson_Corr_Target,Spearman_Corr_Target,Combined_Rank,Corr_Difference
is_quarter_1,0.07789433857562723,0.07789433857562739,3.0,1.5265566588595902e-16
pvt,0.07064977651502634,0.08217166765348531,5.0,0.011521891138458973
nifty_corr_120d,0.0776338066559433,0.07217782066102849,6.0,0.005455985994914814
is_quarter_2,0.0766402046245845,0.07664020462458443,6.0,6.938893903907228e-17
is_quarter_3,0.0693397605022773,0.06933976050227728,10.0,2.7755575615628914e-17
is_quarter_4,0.06882216553748152,0.06882216553748163,12.0,1.1102230246251565e-16
day_of_month,0.06870086145963167,0.0685961902786152,14.0,0.00010467118101646633
corr_change,0.06311076245167245,0.06483701272062138,17.0,0.0017262502689489312
rsi_14_lag10,0.06378234293022338,0.05807002720019394,17.0,0.005712315730029435
volume_lag5,0.05324069096657655,0.04345110221622571,22.0,0.009789588750350839
market_regime,0.05086952158151162,0.042761917982581804,25.0,0.008107603598929813
return_20d,0.04429613459917524,0.04994833681726907,25.0,0.00565220221809383
volume_lag3,0.04845256459246391,0.04132771910419197,27.0,0.0071248454882719345
volume,0.04210580748966361,0.045304282032553836,31.0,0.0031984745428902256
ultosc,0.0434118237453816,0.04114974091480248,32.0,0.002262082830579118
volume_oscillator,0.04317803955002312,0.03969237873815462,37.0,0.0034856608118684976
macd_line_lag20,0.04312565249536374,0.04012835182728286,38.0,0.0029973006680808767
volume_lag2,0.04117789040218886,0.03799011269000819,51.0,0.0031877777121806714
rsi_14_lag5,0.03868905438145973,0.03807160025493512,57.0,0.0006174541265246136
vpci_20d,0.03678360126515499,0.03912976182078009,58.0,0.0023461605556251014
atr_14_lag10,0.029091280391282334,0.039653400045163656,60.0,0.010562119653881322
atr_14_lag15,0.026896814903196523,0.04044871263485292,62.0,0.013551897731656395
return_ratio_20_5,0.023504329772859944,0.043342550205351625,70.0,0.01983822043249168
atr_14_lag20,0.02226644304348289,0.040694204906185,81.0,0.01842776186270211
atr_14_lag5,0.02874348938345345,0.03576994472933059,86.0,0.007026455345877137
volume_roc_10d,0.022721485748753927,0.037172148324645896,95.0,0.014450662575891969
low_lag20,0.018482357758232485,0.03966855067263468,97.0,0.021186192914402196
open_lag20,0.018503119769442054,0.03956794237414946,98.0,0.02106482260470741
high_lag20,0.018615479984974554,0.03954779027472879,98.0,0.020932310289754234
atr_14_lag3,0.02694651463410807,0.035436640065158606,100.0,0.008490125431050537
close_lag20,0.018416183663033842,0.03922066310094106,102.0,0.020804479437907215
volume_roc_1d,0.040922364307164505,0.03066608834840042,107.5,0.010256275958764084
volume_change,0.04092236272552511,0.03066608834840042,108.5,0.010256274377124688
prev_volume,0.03942026669348011,0.0320525533880225,109.0,0.0073677133054576086
volume_lag1,0.03942026669348011,0.0320525533880225,109.0,0.0073677133054576086
stddev,0.026125442423428454,0.03504435253934675,112.0,0.008918910115918294
sma_20_lag15,0.016606167765498725,0.03843093975999403,114.0,0.021824771994495305
close_open_range,0.0431772515242195,0.02606307151671031,116.0,0.01711418000750919
low,0.01707595014398291,0.03667984036426994,118.0,0.01960389022028703
roc,0.03821531769770937,0.029799437386724182,119.0,0.008415880310985186
return_10d,0.03821531769770937,0.029799437386724182,119.0,0.008415880310985186
close,0.01701078894525413,0.03655246069576405,120.0,0.01954167175050992
return_120d,0.036771281543546364,0.030040516979771652,120.0,0.006730764563774711
atr_14_lag2,0.02548768783941149,0.03462897196676128,122.0,0.009141284127349786
sma_20_lag10,0.01647132948252837,0.03693989413550367,126.0,0.0204685646529753
low_lag1,0.016712304333598334,0.03592997840687695,126.0,0.019217674073278616
nifty_corr_20d,0.03850580668040577,0.026793720948041326,126.0,0.011712085732364444
var,0.023124456187568466,0.03504435253245413,128.0,0.011919896344885664
nifty_corr_60d,0.03510353765668728,0.027106139568120677,129.0,0.007997398088566601
volume_lag15,0.024323232810727773,0.03386616614747214,130.0,0.009542933336744368
return_5d,0.039091335598002805,0.024997996899262596,131.0,0.014093338698740208
sma_20_lag20,0.01605648208303697,0.0382973825520757,131.0,0.022240900469038732
close_lag2,0.016581460281437022,0.03581068866360711,133.0,0.019229228382170085
rs_nifty_20d,0.027426622070585698,0.02911458925108547,133.0,0.0016879671804997734
atr_14_lag1,0.02393940401328843,0.03373069677519098,133.0,0.009791292761902548
prev_close,0.01666479210864453,0.035757736465182176,134.0,0.019092944356537647
close_lag1,0.01666479210864453,0.035757736465182176,134.0,0.019092944356537647
high,0.016568503877980013,0.03579583286538085,135.0,0.019227328987400837
sma_20_lag5,0.016280573742502046,0.03631638201088492,136.0,0.020035808268382874
adx_trend_strength,0.027192414580751036,0.0271924145807511,136.0,6.591949208711867e-17
open_lag15,0.016361623603631185,0.03593924586853108,137.0,0.019577622264899897
volume_ratio_20d,0.02921958540113401,0.025679021001184396,139.0,0.0035405643999496146
rs_nifty_5d,0.03951166444004973,0.021921768858967232,140.0,0.017589895581082496
adx_14,0.02599641440333528,0.029210197122464344,140.0,0.0032137827191290637
sma_20_lag3,0.016128981716267598,0.03600440531487403,141.0,0.019875423598606435
rs_nifty_60d,0.02609864074420712,0.02785417971266631,141.0,0.0017555389684591922
ema_20,0.015945082436540126,0.03676868203346989,142.0,0.020823599596929764
vama_20d,0.01615176791759093,0.03584069476349237,143.0,0.01968892684590144
low_lag2,0.01641228876043424,0.0357568541404182,143.0,0.019344565379983962
sma_50,0.015838606179408254,0.0375507565842594,146.0,0.02171215040485115
open,0.01656301629336817,0.03545458613403746,146.0,0.018891569840669288
atr_14,0.021746390684471546,0.03214345466085742,147.0,0.010397063976385873
rsi_14_lag15,0.03140145150246335,0.023238513065881046,147.0,0.008162938436582307
sma_20_lag2,0.016036319830740546,0.03583275194182137,148.0,0.01979643211108082
high_lag15,0.016411043146761613,0.03564918471789146,148.0,0.01923814157112985
ema_50,0.015672111082699985,0.03785611425388367,149.0,0.022184003171183683
high_lag1,0.01640179507972821,0.035470912295529365,150.0,0.019069117215801155
dist_to_sma200,0.02774506140147061,0.02333529790970534,150.0,0.0044097634917652714
is_month_end,0.025916228429473144,0.02591622842947323,151.0,8.673617379884035e-17
macd_line_lag15,0.02674111483121991,0.02434830285445411,153.0,0.0023928119767657983
high_low_range,0.047975409037415345,0.011138641802395998,156.0,0.036836767235019344
sma_20_lag1,0.015945424167177202,0.035696547123978524,157.0,0.01975112295680132
high_lag2,0.016200725925862358,0.03531382077598046,157.0,0.019113094850118105
open_lag1,0.016320281280555158,0.03515172896651626,159.0,0.018831447685961105
is_quarter_end,0.02457277763664611,0.024572777636646108,159.0,3.469446951953614e-18
bollinger_upper,0.016553979487022315,0.03488858485389066,160.0,0.018334605366868345
sma_20,0.015876109050168525,0.03568713340000625,161.0,0.019811024349837728
bollinger_middle,0.015876109050168525,0.03568713340000625,161.0,0.019811024349837728
sma_200,0.015156278604278784,0.036140315976044876,161.0,0.020984037371766094
close_lag3,0.016077925007378726,0.0353098491293544,161.0,0.019231924121975674
rsi_14_lag20,0.023184361011978644,0.025056979775800643,163.0,0.0018726187638219982
close_lag15,0.016016439172287896,0.03518805908105181,165.0,0.019171619908763916
volume_lag10,0.02451088440373856,0.02257749312757201,165.0,0.001933391276166551
rs_nifty_10d,0.03218600745818279,0.01663846315400961,166.0,0.015547544304173183
macd_histogram,0.024083868014836123,0.02257205081451956,168.0,0.001511817200316564
low_lag15,0.015868739986353374,0.0351627598966073,172.0,0.019294019910253923
eom_14d,0.01727257007186829,0.027084460869383806,177.0,0.009811890797515516
nifty_corr_full,0.04558021944371621,0.003955534031946212,177.0,0.041624685411769995
is_month_start,0.02228459320971726,0.022284593209717277,177.0,1.734723475976807e-17
return_3d,0.026101516223006712,0.016651553901604894,177.0,0.009449962321401818
high_lag3,0.01581813143339678,0.035080389835203035,180.0,0.019262258401806256
low_lag3,0.015679191291528085,0.03512701716391834,181.0,0.019447825872390256
open_lag2,0.01584940363374818,0.034921533996199086,181.0,0.019072130362450906
rsi_14_lag3,0.02006342770625424,0.021390922647430824,186.0,0.001327494941176583
bollinger_lower,0.015113725318737945,0.0351464326449025,187.0,0.02003270732616455
is_weekday_4,0.020267565559618773,0.02026756555961874,188.0,3.122502256758253e-17
open_lag3,0.015383283669858205,0.034705018336210335,190.0,0.01932173466635213
bop,0.020583683209588206,0.01980647528051026,190.0,0.000777207929077945
volume_trend,0.020122946040883626,0.02011353231400774,191.0,9.413726875885653e-06
return_40d,0.018840988286343546,0.020907586747091714,193.0,0.002066598460748168
