Feature,accuracy,precision,recall,f1,auc
macd_line_lag15,0.5975786924939468,0.3785464209569416,0.2243285167180955,0.2746540045356801,0.5237103174733113
day_of_month,0.6075060532687651,0.3751282051282051,0.2193455157183065,0.2647967885600699,0.49892283312729874
trix,0.593946731234867,0.373638106247451,0.21217681268681465,0.2629209812072354,0.5135409008398202
nifty_corr_120d,0.6,0.374168528734649,0.2137962104896684,0.25302172315027793,0.510212507232974
di_minus_14,0.602179176755448,0.36981768592074094,0.19417961822881166,0.2478759948095198,0.5136828684953135
adx_14,0.5946731234866828,0.3578318758729778,0.18824185815941985,0.23882450072581896,0.5015878879567077
dist_to_sma200,0.5876513317191284,0.34266566597393094,0.18367558817229032,0.23438337910405566,0.49971086483566785
volume_oscillator,0.6150121065375302,0.3878610477553344,0.1659362996870451,0.22956945079092037,0.5129987439946895
cci_20,0.5932203389830508,0.3405134820459898,0.1869910816421589,0.22823164277742375,0.506733322722042
macd_histogram,0.5939467312348669,0.33600918057204626,0.17836467073702028,0.2193300169987662,0.49890029146804543
rs_nifty_120d,0.6147699757869249,0.40635411709455627,0.1566787456729183,0.21664276869668933,0.5251420856701199
macd_line_lag20,0.6041162227602905,0.3491600353669319,0.16752221441869486,0.2158341217303517,0.5096918684801126
nifty_corr_60d,0.6036319612590798,0.3741915513850435,0.15929004131421282,0.21034760199756483,0.49835491814078176
nifty_corr_20d,0.5891041162227604,0.34027177370048034,0.17095109999046884,0.20846491348027926,0.5073258478730682
bollinger_width,0.6179176755447942,0.39363700617186154,0.14867944101349054,0.2021430338544472,0.4953672043665712
return_120d,0.5992736077481841,0.3499427481950489,0.141932087166607,0.198336649300147,0.49589440206170304
rsi_14_lag10,0.6150121065375302,0.35873489593182084,0.13964917459193307,0.18784599535167554,0.4819352569959884
natr,0.6225181598062953,0.3747355054302423,0.12189740035278025,0.17461515646255002,0.4934601199664096
corr_change,0.5929782082324456,0.29767778717868604,0.1249466775901861,0.1586934551382924,0.5021931516385749
month,0.6070217917675544,0.08087167070217918,0.2,0.11517241379310346,0.479002753929214
