Feature,Importance_3,Importance_1,Importance_2,Importance_0,Mean_Importance,Std_Importance,CV,Stability,Robust
nifty_corr_120d,0.016947393292000856,0.02602761928323603,0.015164732689624377,0.018393029756857415,0.01913319375542967,0.004782166628910254,0.24994084443215722,0.7500591555678428,True
nifty_corr_60d,0.011192029482718998,0.024003354431876563,0.017254671393366977,0.007898558500278905,0.01508715345206036,0.007095648010240195,0.4703105848134744,0.5296894151865257,False
trix,0.011826549078238142,0.013292515960632507,0.00793475717589844,0.02490900317576167,0.014490706347632689,0.007304217332037998,0.5040621972734304,0.4959378027265696,False
return_3d,0.008192200154940531,0.0059670693234550026,0.009429587189117314,0.027469548434796022,0.012764601275577218,0.009907422849567983,0.7761639050103096,0.22383609498969037,False
macd_line_lag1,0.004972822888297768,0.012744877508836372,0.008468731304262763,0.02448613394573551,0.012668141411783103,0.008495563712710815,0.6706243141354854,0.3293756858645146,False
adx_14,0.011697258142342295,0.008350727525618998,0.00932758040873765,0.021293086653376144,0.012667163182518773,0.005919788886864666,0.46733343171112574,0.5326665682888743,False
return_60d,0.009344122045370485,0.011462322230144052,0.009361286996997112,0.01857912935361598,0.012186715156531906,0.00437611259221383,0.3590887700332783,0.6409112299667217,False
macd_line_lag20,0.011681070404456423,0.01799941192976702,0.010661656383499307,0.0074327685694054344,0.011943726821782045,0.0044246566527448,0.37045862499379933,0.6295413750062007,False
bollinger_width,0.009617186440653963,0.014242803268970667,0.010469474108235463,0.013070768974456687,0.011850058198079194,0.0021684935237837708,0.18299433380300478,0.8170056661969952,True
nifty_corr_20d,0.014732115124300487,0.015916303524361967,0.009234500719864851,0.006981191840647268,0.011716027802293645,0.004294017043899348,0.3665079222847113,0.6334920777152887,False
corr_change,0.012231502675511778,0.01227291670329328,0.014238914908897518,0.007830422386395645,0.011643439168524554,0.002709098986421495,0.2326717152847562,0.7673282847152438,True
rs_nifty_120d,0.011895323614669846,0.010986179013430325,0.01215351583230316,0.010502335331056059,0.011384338447864847,0.0007722694095361049,0.06783612471547111,0.9321638752845289,True
cci_20,0.00908145094700253,0.010520207462383368,0.008488464853964874,0.016772297083915345,0.01121560508681653,0.00380141690903154,0.33893997209352067,0.6610600279064793,False
macd_histogram,0.008758626234522053,0.010718418535035273,0.015936913763637643,0.008995335261714555,0.01110232344872738,0.003339309427005653,0.3007757261216213,0.6992242738783787,False
var,0.006429141873432268,0.013450921825672344,0.010439450322606259,0.012716155349804891,0.01075891734287894,0.0031584111799025003,0.29356217265083434,0.7064378273491656,False
dist_to_sma200,0.010890650564723764,0.010959457013774663,0.011000750501452604,0.009766759711823763,0.010654404447943699,0.0005935031766150143,0.05570495976047394,0.944295040239526,True
macd_line,0.00720658260224052,0.006737868242634383,0.008820430792828628,0.01922949338949577,0.010498593756799825,0.005888554807548073,0.5608898570482485,0.43911014295175155,False
rsi_14_lag15,0.009512846354365062,0.009501611932248076,0.009983198095835937,0.012382174201535267,0.010344957645996085,0.00137656123012527,0.13306591132844933,0.8669340886715506,True
volume_oscillator,0.015754694520761968,0.007752871800119792,0.0095333532487447,0.008315492627920642,0.010339103049386775,0.0036860753717478374,0.35651790280924545,0.6434820971907546,False
dist_to_lower_band,0.00680592864402497,0.011298129926107696,0.006538231198799804,0.016666206042634378,0.010327123952891712,0.004756796507654869,0.4606119267370389,0.5393880732629611,False
return_120d,0.014859173750522536,0.014272433066233008,0.009267935684994424,0.002535979638806398,0.010233880535139092,0.005712383377014009,0.5581835064012715,0.44181649359872854,False
macd_line_lag10,0.00861669135396978,0.012185009302683975,0.012889621996007518,0.006585823706404179,0.010069286589766364,0.0029818965430563277,0.2961378134249464,0.7038621865750536,False
volume_roc_10d,0.007617034699355003,0.009025767776465222,0.007688613170168338,0.01594493937717105,0.010069088755789903,0.003970448014187795,0.3943204862974983,0.6056795137025017,False
macd_signal,0.008238860486104553,0.011068408764642244,0.008241306259526359,0.012648575602781436,0.010049287778263648,0.002186423939667527,0.2175700374149601,0.7824299625850399,True
natr,0.010739871140182187,0.007670556850314484,0.015762817923239743,0.005527500321531368,0.009925186558816945,0.00444089519046479,0.44743694432383935,0.5525630556761607,False
atr_ratio,0.009782970032037607,0.009660002506079235,0.01410583782269221,0.005569350426118608,0.009779540196731915,0.0034860125299174044,0.35645975415453274,0.6435402458454673,False
ultosc,0.009476117997554621,0.009742225699076547,0.00626341700957044,0.01294342073232686,0.009606295359632117,0.0027292651403612316,0.2841121379027157,0.7158878620972843,False
rs_nifty_20d,0.006986941730623058,0.008692402651504458,0.013344420378357815,0.009230962240979504,0.009563681750366208,0.002695885954720245,0.281887875077841,0.7181121249221589,False
high_low_range,0.00537634496983036,0.008102401384877183,0.009074077328160757,0.014708888906485687,0.009315428147338496,0.003921542187462874,0.4209728295189537,0.5790271704810463,False
di_plus_14,0.007498360148693043,0.01099234156805703,0.01041112459707456,0.008002713291861132,0.009226134901421441,0.0017325946437811012,0.1877920324723371,0.8122079675276629,True
close_open_range,0.004885065637239971,0.00406538728223517,0.007324681646177323,0.0203860787972922,0.009165303340736166,0.00760752409725875,0.8300351588411464,0.16996484115885357,False
macd_line_lag2,0.006993077306690004,0.008046881477811848,0.007847769989342628,0.013691658549499035,0.009144846830835877,0.0030654822969746467,0.3352141725454172,0.6647858274545828,False
macd_line_lag3,0.007747577891767766,0.011913774949112367,0.007158429379177267,0.009475849466966614,0.009073907921756004,0.002133433159202972,0.23511734459813327,0.7648826554018667,True
di_minus_14,0.009555149499750542,0.010547060976512384,0.009867065421521205,0.00589608268991118,0.008966339646923827,0.0020883136472371385,0.23290592439948501,0.767094075600515,True
stddev,0.0060258943911792925,0.012469362932622394,0.007838459735986224,0.009415918752348531,0.00893740895303411,0.0027318050789122477,0.30565962268280006,0.6943403773171999,False
roc,0.0064404763766312875,0.00793761109140665,0.014696219658015956,0.006635488492335069,0.00892744890459724,0.0039028455340582554,0.4371736575642676,0.5628263424357324,False
