SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID,SM_SYMBOL_NAME,SEM_EXM_EXCH_ID,SEM_INSTRUMENT_NAME,SEM_EXCH_INSTRUMENT_TYPE
BANKNIFTY,25,BANKNIFTY,NSE,Index,IDX
FINNIFTY,27,NIFTY FIN SERVICE,NSE,Index,IDX
MIDCPNIFTY,442,NIFTY MID SELECT,NSE,Index,IDX
NIFTY,13,NIFTY,NSE,Index,IDX
NIFTY 100,17,NIFTY 100,NSE,Index,IDX
NIFTY 200,18,NIFTY 200,NSE,Index,IDX
NIFTY 500,19,NIFTY 500,NSE,Index,IDX
NIFTY CONSR DURBL,466,NIFTY CONSR DURBL,NSE,Index,IDX
NIFTY FMCG,28,NIFTY FMCG,NSE,Index,IDX
NIFTY MEDIA,30,NIFTY MEDIA,NSE,Index,IDX
NIFTY METAL,31,NIFTY METAL,NSE,Index,IDX
NIFTY MICROCAP250,444,NIFTY MICROCAP250,NSE,Index,IDX
NIFTY MID100 FREE,37,NIFTY MID100 FREE,NSE,Index,IDX
NIFTY PHARMA,32,NIFTY PHARMA,NSE,Index,IDX
NIFTY PSU BANK,33,NIFTY PSU BANK,NSE,Index,IDX
NIFTY PVT BANK,15,NIFTY PVT BANK,NSE,Index,IDX
NIFTY REALTY,34,NIFTY REALTY,NSE,Index,IDX
NIFTY SML100 FREE,22,NIFTY SML100 FREE,NSE,Index,IDX
NIFTY TOTAL MKT,443,NIFTY TOTAL MKT,NSE,Index,IDX
NIFTYIT,29,NIFTYIT,NSE,Index,IDX
NIFTYMCAP50,20,NIFTYMCAP50,NSE,Index,IDX
Nifty Oil and Gas,470,Nifty Oil and Gas,NSE,Index,IDX
360ONE,13061,360 ONE WAM LIMITED,NSE,EQUITY,ES
AARTIIND,7,AARTI INDUSTRIES LTD,NSE,EQUITY,ES
AARTIPHARM,13868,AARTI PHARMALABS LIMITED,NSE,EQUITY,ES
ABB,13,ABB INDIA LIMITED,NSE,EQUITY,ES
ABCAPITAL,21614,ADITYA BIRLA CAPITAL LTD.,NSE,EQUITY,ES
ABFRL,30108,ADITYA BIRLA FASHION & RT,NSE,EQUITY,ES
ACI,12024,ARCHEAN CHEMICAL IND LTD,NSE,EQUITY,ES
ADANIENSOL,10217,ADANI ENERGY SOLUTION LTD,NSE,EQUITY,ES
ADANIENT,25,ADANI ENTERPRISES LIMITED,NSE,EQUITY,ES
ADANIGREEN,3563,ADANI GREEN ENERGY LTD,NSE,EQUITY,ES
ADANIPORTS,15083,ADANI PORT & SEZ LTD,NSE,EQUITY,ES
ADANIPOWER,17388,ADANI POWER LTD,NSE,EQUITY,ES
ADSL,14813,ALLIED DIGITAL SERV. LTD,NSE,EQUITY,ES
AEGISLOG,40,AEGIS LOGISTICS LIMITED,NSE,EQUITY,ES
