Stock Name,NSE Code,Market Capitalization
Ashiana Housing Ltd.,ASHIANA,3019.27
AXISCADES Technologies Ltd.,AXISCADES,3029.72
The Orissa Minerals Development Company Ltd.,ORISSAMINE,3047.01
MSTC Ltd.,MSTCLTD,3053.25
Allcargo Logistics Ltd.,ALLCARGO,3054.49
Jayaswal Neco Industries Ltd.,JAYNECOIND,3063.5
Navneet Education Ltd.,NAVNETEDUL,3069.33
Yatharth Hospital & Trauma Care Services Ltd.,YATHARTH,3080.73
Arvind SmartSpaces Ltd.,ARVSMART,3085.86
Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS,3112.7
Dishman Carbogen Amcis Ltd.,DCAL,3123.12
IRB InvIT Fund,IRBINVIT,3162.56
Samhi Hotels Ltd.,SAMHI,3162.6
Prince Pipes & Fittings Ltd.,PRINCEPIPE,3169.79
D P Abhushan Ltd.,DPABHUSHAN,3171.63
Swaraj Engines Ltd.,SWARAJENG,3176.87
Restaurant Brands Asia Ltd.,RBA,3180.93
JTL Industries Ltd.,JTLIND,3181.6
63 Moons Technologies Ltd.,63MOONS,3184.95
Medi Assist Healthcare Services Ltd.,MEDIASSIST,3185.37
Kalyani Steels Ltd.,KSL,3187.11
Artemis Medicare Services Ltd.,ARTEMISMED,3187.55
Cyient DLM Ltd.,CYIENTDLM,3194.85
Indostar Capital Finance Ltd.,INDOSTAR,3204.93
Aarti Drugs Ltd.,AARTIDRUGS,3206.77
Kitex Garments Ltd.,KITEX,3214.34
India Glycols Ltd.,INDIAGLYCO,3253.12
Shanthi Gears Ltd.,SHANTIGEAR,3253.9
Uflex Ltd.,UFLEX,3255.66
TeamLease Services Ltd.,TEAMLEASE,3268.26
DCB Bank Ltd.,DCBBANK,3274.87
Ashapura Minechem Ltd.,ASHAPURMIN,3282.75
Indraprastha Medical Corporation Ltd.,INDRAMEDCO,3285.1
Rossari Biotech Ltd.,ROSSARI,3294.15
Greenpanel Industries Ltd.,GREENPANEL,3298.06
Network People Services Technologies Ltd.,NPST,3303.36
Gufic BioSciences Ltd.,GUFICBIO,3314.67
Ganesha Ecosphere Ltd.,GANECOS,3326.54
Paisalo Digital Ltd.,PAISALO,3346.38
Indian Metals & Ferro Alloys Ltd.,IMFA,3352.17
Imagicaaworld Entertainment Ltd.,IMAGICAA,3353.22
Heritage Foods Ltd.,HERITGFOOD,3354.58
Pitti Engineering Ltd.,PITTIENG,3355.12
CARE Ratings Ltd.,CARERATING,3356.29
Kirloskar Industries Ltd.,KIRLOSIND,3361.16
Jash Engineering Ltd.,JASH,3363.68
Datamatics Global Services Ltd.,DATAMATICS,3382.66
EMS Ltd.,EMSLIMITED,3390.71
Greenply Industries Ltd.,GREENPLY,3404.05
Polyplex Corporation Ltd.,POLYPLEX,3404.99
Lumax Auto Technologies Ltd.,LUMAXTECH,3408.91
Paras Defence and Space Technologies Ltd.,PARAS,3411.34
Pokarna Ltd.,POKARNA,3423.62
Apollo Micro Systems Ltd.,APOLLO,3453.52
RPG Life Sciences Ltd.,RPGLIFE,3456.98
Gopal Snacks Ltd.,GOPAL,3467.12
Fedbank Financial Services Ltd.,FEDFINA,3486.57
Kingfa Science & Technology (India) Ltd.,KINGFA,3506.84
TARC Ltd.,TARC,3516.07
Hemisphere Properties India Ltd.,HEMIPROP,3532.29
Dhani Services Ltd.,DHANI,3541.89
EPACK Durables Ltd.,EPACK,3546.49
TCPL Packaging Ltd.,TCPLPACK,3556.92
Harsha Engineers International Ltd.,HARSHA,3598.52
E2E Networks Ltd.,E2E,3613.22
FIEM Industries Ltd.,FIEMIND,3613.56
DB Corp Ltd.,DBCORP,3614.34
Cigniti Technologies Ltd.,CIGNITITEC,3616.33
Enviro Infra Engineers Ltd.,EIEL,3630.84
KDDL Ltd.,KDDL,3632.6
Thyrocare Technologies Ltd.,THYROCARE,3643.57
Sun Pharma Advanced Research Company Ltd.,SPARC,3647.3
Patel Engineering Ltd.,PATELENG,3667.97
Borosil Ltd.,BOROLTD,3689.34
Sequent Scientific Ltd.,SEQUENT,3709.93
Jain Irrigation Systems Ltd.,JISLJALEQS,3710.48
Subros Ltd.,SUBROS,3723.33
Bhagiradha Chemicals & Industries Ltd.,BHAGCHEM,3751.98
Vaibhav Global Ltd.,VAIBHAVGBL,3755.08
R Systems International Ltd.,RSYSTEMS,3756.54
Sunflag Iron & Steel Company Ltd.,SUNFLAG,3792.54
LG Balakrishnan & Bros Ltd.,LGBBROSLTD,3830.6
National Fertilizers Ltd.,NFL,3830.93
Go Fashion (India) Ltd.,GOCOLORS,3831.94
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,3849.2
Optiemus Infracom Ltd.,OPTIEMUS,3849.6
Rolex Rings Ltd.,ROLEXRINGS,3852.56
Gokul Agro Resources Ltd.,GOKULAGRO,3863.42
Lux Industries Ltd.,LUXIND,3882.56
Jeena Sikho Lifecare Ltd.,JSLL,3900.3
Goldiam International Ltd.,GOLDIAM,3914.04
VRL Logistics Ltd.,VRLLOG,3947.45
Websol Energy Systems Ltd.,WEBELSOLAR,3955.15
MTAR Technologies Ltd.,MTARTECH,3961.53
Hindustan Construction Company Ltd.,HCC,3966.2
