Stock Name,NSE Code,Market Capitalization
20 Microns Ltd.,20MICRONS,607.17
360 One Wam Ltd.,360ONE,39225.85
3M India Ltd.,3MINDIA,29624.17
5Paisa Capital Ltd.,5PAISA,1091.24
63 Moons Technologies Ltd.,63MOONS,3184.95
ABB India Ltd.,ABB,104585.27
ACC Ltd.,ACC,34150.06
ACME Solar Holdings Ltd.,ACMESOLAR,11684.25
ADF Foods Ltd.,ADFFOODS,2584.54
AGI Greenpac Ltd.,AGI,4114.11
AIA Engineering Ltd.,AIAENG,29314.27
APL Apollo Tubes Ltd.,APLAPOLLO,39934.4
ASK Automotive Ltd.,ASKAUTOLTD,7162.19
AVT Natural Products Ltd.,AVTNPL,851.42
AXISCADES Technologies Ltd.,AXISCADES,3029.72
AYM Syntex Ltd.,AYMSYNTEX,1137.57
Aadhar Housing Finance Ltd.,AADHARHFC,16414.46
Aarti Drugs Ltd.,AARTIDRUGS,3206.77
Aarti Industries Ltd.,AARTIIND,13630.75
Aarti Pharmalabs Ltd.,AARTIPHARM,6644.7
Aavas Financiers Ltd.,AAVAS,13341.11
Abans Holdings Ltd.,AHL,962.47
Abbott India Ltd.,ABBOTINDIA,64588.63
Accelya Solutions India Ltd.,ACCELYA,1918.03
Action Construction Equipment Ltd.,ACE,12507.31
Adani Energy Solutions Ltd.,ADANIENSOL,78191.48
Adani Enterprises Ltd.,ADANIENT,241916.27
Adani Green Energy Ltd.,ADANIGREEN,122667.48
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,231005.25
Adani Power Ltd.,ADANIPOWER,184728.09
Adani Total Gas Ltd.,ATGL,61275.92
Adani Wilmar Ltd.,AWL,31991.59
Aditya Birla Capital Ltd.,ABCAPITAL,40752.48
Aditya Birla Fashion and Retail Ltd.,ABFRL,29548.35
Aditya Birla Money Ltd.,BIRLAMONEY,818.37
Aditya Birla Real Estate Ltd.,ABREL,20810.03
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,17756.2
Ador Welding Ltd.,ADORWELD,1496.9
Advanced Enzyme Technologies Ltd.,ADVENZYMES,2907.22
Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,523.2
Aegis Logistics Ltd.,AEGISLOG,26683.02
Aeroflex Industries Ltd.,AEROFLEX,2221.08
Aether Industries Ltd.,AETHER,11341.1
Afcons Infrastructure Ltd.,AFCONS,15193.18
Affle (India) Ltd.,AFFLE,19672.99
Agarwal Industrial Corporation Ltd.,AGARIND,1326.68
Agro Tech Foods Ltd.,ATFL,1960.51
Ahluwalia Contracts (India) Ltd.,AHLUCONT,4328.4
Aimtron Electronics Ltd.,AIMTRON,893.72
Ajanta Pharma Ltd.,AJANTPHARM,31052.52
Ajax Engineering Ltd.,AJAXENGG,6807.78
Ajmera Realty & Infra India Ltd.,AJMERA,2881.48
Akums Drugs & Pharmaceuticals Ltd.,AKUMS,7169.3
Akzo Nobel India Ltd.,AKZOINDIA,14164.17
Alembic Ltd.,ALEMBICLTD,2338.77
Alembic Pharmaceuticals Ltd.,APLLTD,14617.41
Alicon Castalloy Ltd.,ALICON,1228.01
Alivus Life Sciences Ltd.,ALIVUS,10842.56
Alkem Laboratories Ltd.,ALKEM,55552.29
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,8134.97
All e Technologies Ltd.,ALLETEC,741.23
Allcargo Gati Ltd.,ACLGATI,938.64
Allcargo Logistics Ltd.,ALLCARGO,3054.49
Alldigi Tech Ltd.,ALLDIGI,1357.88
Allied Blenders & Distillers Ltd.,ABDL,8719.97
Allied Digital Services Ltd.,ADSL,1124.84
Alok Industries Ltd.,ALOKINDS,7626.61
Alpex Solar Ltd.,ALPEXSOLAR,1438.55
Amara Raja Energy & Mobility Ltd.,ARE&M,17920.93
Amber Enterprises India Ltd.,AMBER,19038.06
Ambika Cotton Mills Ltd.,AMBIKCO,757.68
Ambuja Cements Ltd.,AMBUJACEM,114522.93
Ami Organics Ltd.,AMIORG,8877.26
Amrutanjan Health Care Ltd.,AMRUTANJAN,1670.31
Anand Rathi Wealth Ltd.,ANANDRATHI,16608.48
Anant Raj Ltd.,ANANTRAJ,15838.09
Andhra Cements Ltd.,ACL,547.13
Andhra Paper Ltd.,ANDHRAPAP,1505.69
Andhra Sugars Ltd.,ANDHRSUGAR,965.42
Angel One Ltd.,ANGELONE,19582.8
Annapurna Swadisht Ltd.,ANNAPURNA,636.93
Antony Waste Handling Cell Ltd.,AWHCL,1503.68
Anupam Rasayan India Ltd.,ANURAS,6952.06
Apar Industries Ltd.,APARINDS,23287.17
Apcotex Industries Ltd.,APCOTEXIND,1704.15
Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS,3112.7
Apex Frozen Foods Ltd.,APEX,614.84
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,87027.13
Apollo Micro Systems Ltd.,APOLLO,3453.52
Apollo Pipes Ltd.,APOLLOPIPE,1495.66
Apollo Tyres Ltd.,APOLLOTYRE,23771.83
Aptech Ltd.,APTECHT,646.23
Aptus Value Housing Finance India Ltd.,APTUS,15371.78
Archean Chemical Industries Ltd.,ACI,6211.5
Arihant Capital Markets Ltd.,ARIHANTCAP,670.69
Arihant Superstructures Ltd.,ARIHANTSUP,1623.56
Arkade Developers Ltd.,ARKADE,2576.45
Arman Financial Services Ltd.,ARMANFIN,1341.26
Arrow Greentech Ltd.,ARROWGREEN,798.3
Artemis Medicare Services Ltd.,ARTEMISMED,3187.55
Arvind Fashions Ltd.,ARVINDFASN,5075.12
Arvind Ltd.,ARVIND,8879.56
Arvind SmartSpaces Ltd.,ARVSMART,3085.86
Asahi India Glass Ltd.,ASAHIINDIA,14967.05
Ashapura Minechem Ltd.,ASHAPURMIN,3282.75
Ashiana Housing Ltd.,ASHIANA,3019.27
Ashok Leyland Ltd.,ASHOKLEY,62530.41
Ashoka Buildcon Ltd.,ASHOKA,4832.65
Asian Energy Services Ltd.,ASIANENE,1118.02
Asian Granito India Ltd.,ASIANTILES,648.47
