feature,correlation
parkinson_vol_10d,0.10011549507169154
gk_vol_10d,0.09762101829541102
parkinson_vol_20d,0.0969960159113147
gk_vol_20d,0.09559571213091585
parkinson_vol_5d,0.09350790773155788
gk_vol_5d,0.09143635314474594
volatility_30d,0.09140657131712027
volatility_15d,0.08815398704475025
volatility_20d,0.08800447748074886
volatility_10d,0.0864139526761092
price_range_pct,0.08021948548847846
volatility_5d,0.07013591980140162
volatility_3d,0.061802231087362755
body_size_pct,0.05832287045219973
vol_regime_10d,0.05566476489791782
adx,0.045952344404813855
rel_return_30d,0.0360743360604444
earnings_q2,0.030779763323832074
rel_return_20d,0.030768120368231143
rel_strength_20d,0.02956885946795098
volume_ratio_20d,0.02900006136616679
rel_volume,0.028708741011190118
volume_ratio_5d,0.02698386402558883
price_position_3d,0.0263344373625974
volume_ratio_10d,0.026012626513986028
return_1d,0.0258238832432634
vol_ratio_park_gk_10d,0.025548798782676508
return_30d,0.025541267659472802
volume_ratio_3d,0.02531037523963852
rel_return_10d,0.024997355792978692
rel_return_15d,0.024822707173987903
rel_return_1d,0.02450036596787402
rel_strength_10d,0.024219298278900802
close_position,0.02356476498591202
log_return_1d,0.02331838190852606
return_20d,0.02320398292752889
price_position_5d,0.021767624439017075
dist_from_sma_3d,0.018719139328929896
return_10d,0.01742017928016306
volume,0.017346431221033243
rel_return_5d,0.016846063461466075
return_15d,0.016351389192019217
rel_strength_5d,0.016159938302449627
dist_from_sma_5d,0.015830113404058033
rel_return_3d,0.015022138223718748
return_5d,0.014763193752072617
return_3d,0.014676593181052962
volume_sma_3d,0.013738419091780411
dist_from_ema_5d,0.013358340735578293
dist_from_sma_20d,0.013129530931922186
price_position_10d,0.012493607506076195
volume_sma_5d,0.012102522910496733
dist_from_sma_10d,0.011898396200460085
dist_from_sma_15d,0.011781535206948754
vol_ratio_std_park_10d,0.01156669619181485
dist_from_ema_20d,0.011539387409055397
bullish_candle,0.011535695088399408
weekday_0,0.011470272214456276
dist_from_ema_10d,0.011097411659465529
index_return_3d,0.010477334278284026
volume_sma_20d,0.010193777451826607
volume_sma_10d,0.010156667624885067
index_return_1d,0.009498630396497863
weekday_1,0.0093007528010415
volume_pct_change,0.009128375470568753
price_position_15d,0.009030267498564951
rsi_14,0.008415089241907191
earnings_q4,0.007871959721664936
body_ratio,0.006313570531141618
consecutive_bullish,0.005725268050856572
index_return_5d,0.0055294644918191275
lower_shadow_ratio,0.003135868691651379
weekday_2,0.001312769112404223
dist_from_vwap_support_1,-0.0009499436887927291
stoch_k,-0.0009838330571525643
consecutive_bearish,-0.0013403266309109985
doji_candle,-0.0018336838864859415
earnings_q3,-0.003117273004842372
bullish_engulfing,-0.0031534325036282574
dist_from_vwap_support_2,-0.004930005309967123
stoch_d,-0.005034078499203086
vwap_resistance_3,-0.007277780647093283
dist_from_vwap_support_3,-0.007573848241370401
weekday_4,-0.007637293551810495
index_return_20d,-0.008778541874102486
lower_shadow,-0.009166449823911335
vwap_resistance_2,-0.009779112374942875
upper_shadow_ratio,-0.01020226199240921
vwap_resistance_1,-0.010641340429371747
index_return_15d,-0.010690755379784696
bearish_engulfing,-0.011037876375994515
index_return_10d,-0.011256639498963168
dist_from_vwap_resistance_1,-0.01342136304490381
macd,-0.01490654327876048
weekday_3,-0.015236085527303916
index_return_30d,-0.01532335027228071
body_size,-0.016035971718074558
vwap_support_3,-0.016098252889541195
dist_from_vwap_resistance_2,-0.0169444527771041
upper_shadow,-0.01764755487843083
vwap_support_2,-0.01818206452091708
candle_range,-0.018264677725360896
price_range,-0.018264677725360896
dist_from_vwap_resistance_3,-0.01858822344723835
vwap_support_1,-0.01989148606715505
bearish_candle,-0.020189007595188324
atr,-0.03018328984104399
earnings_q1,-0.03372016830647887
bb_upper,-0.05360320625755346
max_high_30d,-0.05364471716787717
max_high_15d,-0.05369129720486775
max_high_20d,-0.05372790217662387
max_high_10d,-0.05391842755346209
max_high_5d,-0.05502335140479293
sma_15d,-0.055027015958688454
sma_10d,-0.055032092196570265
sma_20d,-0.05528328012396032
max_high_3d,-0.05540709491083415
ema_20d,-0.05544332178744484
ema_10d,-0.055615146659233075
high,-0.055689383525220716
ema_5d,-0.05587414304163507
sma_5d,-0.0559763150015656
open,-0.056053772197936606
close,-0.05609960352363701
sma_3d,-0.056140151888049404
min_low_10d,-0.056484390505802146
low,-0.056587386604128355
min_low_15d,-0.05672392509627339
min_low_3d,-0.056953137742221355
min_low_5d,-0.05697751143169708
