feature,correlation
dist_from_vwap_support_1,0.07097107713804718
earnings_q2,0.06378695080452385
dist_from_vwap_support_2,0.06108369753585894
parkinson_vol_10d,0.0500799324734434
gk_vol_10d,0.04987534020506144
parkinson_vol_5d,0.04558528273593795
gk_vol_5d,0.04527715183313447
gk_vol_20d,0.044726543996946186
parkinson_vol_20d,0.044242623660366936
dist_from_vwap_support_3,0.04384890303791194
volatility_10d,0.041552807596823775
dist_from_vwap_resistance_1,0.04113456847800979
volatility_15d,0.04044788967660549
volatility_20d,0.03785919006733798
volatility_30d,0.03709713388245994
dist_from_vwap_resistance_2,0.036727897816069235
price_range_pct,0.03630933508676697
volatility_5d,0.033692226433183814
adx,0.0323013293913954
volatility_3d,0.030802681635049116
earnings_q4,0.02680878145838594
body_size_pct,0.024563612406691582
index_return_15d,0.024087222602202113
rsi_14,0.02242135319784443
stoch_d,0.021992824632344466
index_return_20d,0.02193726541128263
dist_from_vwap_resistance_3,0.020170657052545893
price_position_15d,0.02015858086625088
stoch_k,0.019391903301731354
index_return_30d,0.018309296378120385
index_return_10d,0.017620657890091884
vol_regime_10d,0.017326776342291583
return_20d,0.017003376876240036
index_return_5d,0.016892657892553002
earnings_q3,0.015970399957460076
index_return_3d,0.015752857166286455
return_30d,0.015006192020350424
return_15d,0.014367138591351039
price_position_10d,0.01410816457652603
dist_from_sma_20d,0.012111650259223419
index_return_1d,0.01187235414740335
return_10d,0.011366191111783
volume_ratio_20d,0.010125796312694946
rel_volume,0.010063130729567365
price_position_5d,0.009974994448061878
dist_from_ema_20d,0.009142164860249385
return_1d,0.009104719373710712
price_position_3d,0.009103588234052174
dist_from_sma_15d,0.008953473036157664
log_return_1d,0.007983077055342763
weekday_1,0.0076351470771883765
rel_return_20d,0.007087067716391199
vol_ratio_park_gk_10d,0.006862168919708749
dist_from_ema_10d,0.006838490864757544
dist_from_sma_10d,0.006271572569579026
rel_return_30d,0.006083102105975379
dist_from_sma_3d,0.006067016449076619
rel_return_1d,0.005989046957454486
vol_ratio_std_park_10d,0.005987749697096862
rel_strength_20d,0.005954673998640329
dist_from_sma_5d,0.0059428416206205705
dist_from_ema_5d,0.005805912462780394
return_5d,0.005695011273130996
volume_ratio_5d,0.005499617160089727
close_position,0.005224830639985103
volume_ratio_10d,0.005187788541203955
volume_ratio_3d,0.004925383926534459
volume,0.004809108233164956
return_3d,0.004755670478879279
volume_sma_3d,0.004530733567006851
rel_return_10d,0.004006313955336261
rel_return_15d,0.0038592028235499252
rel_strength_10d,0.0035151703402599255
upper_shadow_ratio,0.0033370313434663056
volume_sma_5d,0.003240481650466365
weekday_2,0.003093387273462403
doji_candle,0.0030826453504322364
volume_sma_10d,0.0028058061474639058
weekday_0,0.0027044468302856446
macd,0.0025271905128135875
volume_sma_20d,0.0018047054259434808
bullish_candle,0.0013775145891383052
bullish_engulfing,-8.10891465885102e-05
body_ratio,-0.00016916557205204672
rel_return_3d,-0.00018881225070189938
consecutive_bearish,-0.0012234704813613327
rel_return_5d,-0.001247062264682715
rel_strength_5d,-0.0013009539643571433
volume_pct_change,-0.002398954797349219
lower_shadow_ratio,-0.0035798063036014452
weekday_4,-0.004079797694922762
bearish_engulfing,-0.005020585906890454
consecutive_bullish,-0.005234900498003628
bearish_candle,-0.007097061066125673
weekday_3,-0.008041250163927805
lower_shadow,-0.01653415686141053
upper_shadow,-0.019378284815058096
body_size,-0.020885174685659192
price_range,-0.024142672582529754
candle_range,-0.024142672582529754
atr,-0.029153221380985087
vwap_resistance_3,-0.03348737753327189
max_high_10d,-0.03760138055122398
max_high_5d,-0.03778940130248275
sma_10d,-0.03782258753774657
max_high_3d,-0.03796721958852315
sma_5d,-0.03798984902827354
sma_3d,-0.038158916760907845
high,-0.03818533262448642
min_low_5d,-0.03823949304390877
open,-0.03825672777968038
max_high_15d,-0.03825948653600562
close,-0.03828121298156915
ema_5d,-0.038308694896153496
min_low_10d,-0.03831114241923784
ema_10d,-0.03839217725747483
low,-0.03839624355134078
min_low_3d,-0.03840927428375905
sma_15d,-0.038536451097841005
ema_20d,-0.038620029962802734
bb_upper,-0.03893056053152538
max_high_20d,-0.03918374828840595
min_low_15d,-0.039254322221089155
vwap_support_3,-0.03951418880335901
sma_20d,-0.039514675301710565
max_high_30d,-0.03987746783887187
vwap_resistance_2,-0.040013857716701406
vwap_resistance_1,-0.04516713754363121
vwap_support_2,-0.04938957822173976
vwap_support_1,-0.05587649824443741
earnings_q1,-0.10158773001427675
