feature,correlation
parkinson_vol_20d,0.1333030495820721
volatility_30d,0.13300316204462947
parkinson_vol_5d,0.13218487087496503
gk_vol_20d,0.1297100368380168
gk_vol_5d,0.12969535387303746
parkinson_vol_10d,0.12907062049704285
gk_vol_10d,0.12684202609795478
volatility_20d,0.12593053145727995
volatility_15d,0.11826689308352775
price_range_pct,0.11721953325910497
volatility_10d,0.11650373275737295
volatility_5d,0.11018955146311084
earnings_q1,0.09812337632865524
volatility_3d,0.09216571881396
body_size_pct,0.08100634839982228
vol_regime_10d,0.06851861799528489
rel_return_20d,0.04916818754896472
rel_return_30d,0.04809405998759603
rel_strength_20d,0.0463140991814051
rel_return_15d,0.04590345968919526
weekday_3,0.03945911408150489
rel_return_10d,0.037993860732854025
volume_ratio_20d,0.03778116089055026
rel_volume,0.03749858637859345
rel_return_5d,0.03715651176658833
rel_strength_5d,0.03642334031648464
rel_strength_10d,0.03605491670330407
volume_ratio_10d,0.03403120083783124
adx,0.03287979127605217
rel_return_3d,0.03211438459207428
vol_ratio_std_park_10d,0.026196944392180798
vol_ratio_park_gk_10d,0.02316305877227486
return_30d,0.022785620142808112
volume_ratio_5d,0.021528002665314957
return_20d,0.020740650328205622
volume_sma_5d,0.020015330301821736
volume_sma_3d,0.019535675659859465
volume_sma_10d,0.01932523106796391
return_15d,0.018802787379821873
vwap_support_1,0.018779245364585372
volume,0.018137471558361803
vwap_support_2,0.017747350142047785
vwap_resistance_1,0.017016552233960848
rel_return_1d,0.015695362343198183
volume_sma_20d,0.01545658227625334
body_ratio,0.014050280547921918
return_10d,0.013332836309034568
weekday_2,0.011017161920563307
vwap_resistance_2,0.010962787654675774
dist_from_sma_20d,0.01026862391283898
volume_ratio_3d,0.010182419441161467
vwap_support_3,0.010120948605155113
volume_pct_change,0.009318319376330311
dist_from_sma_15d,0.008699976545566127
bearish_candle,0.008350340075992906
return_5d,0.008230005000842436
dist_from_sma_10d,0.0075594271846484455
dist_from_ema_20d,0.006713196849815658
vwap_resistance_3,0.006030924109440225
return_3d,0.004730259321998232
dist_from_ema_10d,0.0035006813218296444
bullish_engulfing,0.002412416481115837
bearish_engulfing,0.0018933288639934182
upper_shadow_ratio,0.001342519359681017
body_size,0.0010261548509718783
stoch_d,0.0004205767353928553
weekday_4,0.00014745913867285172
consecutive_bullish,-6.430751300776487e-05
dist_from_ema_5d,-0.00040197520108555175
dist_from_sma_5d,-0.00040635075163787524
consecutive_bearish,-0.0018106120360444878
stoch_k,-0.001865046157196452
dist_from_sma_3d,-0.0020822295535836296
return_1d,-0.004405579919844374
rsi_14,-0.0046476385024757415
dist_from_vwap_resistance_3,-0.0051883227648977185
price_position_15d,-0.00648194143236859
doji_candle,-0.006739044824076439
log_return_1d,-0.006754682398630795
bullish_candle,-0.007417263981294794
price_range,-0.00800669345674615
candle_range,-0.00800669345674615
price_position_10d,-0.008375558929580576
dist_from_vwap_resistance_2,-0.008688648456079376
upper_shadow,-0.011533349446357935
dist_from_vwap_resistance_1,-0.01251439248957578
close_position,-0.013071198659617273
macd,-0.013343411161125501
dist_from_vwap_support_3,-0.015452183608744051
lower_shadow,-0.01558176740254252
price_position_3d,-0.01855497105958341
price_position_5d,-0.01919938434875925
weekday_0,-0.019556357427467645
lower_shadow_ratio,-0.020459778555469033
earnings_q2,-0.022970469104839682
atr,-0.025567626316727966
dist_from_vwap_support_2,-0.027964789436461166
weekday_1,-0.031290370502650273
dist_from_vwap_support_1,-0.03179559095429892
earnings_q4,-0.03374934017665398
index_return_1d,-0.045127660427794355
earnings_q3,-0.04556505973546202
max_high_30d,-0.05043386176488548
max_high_20d,-0.05151993838848007
bb_upper,-0.0516334478724698
max_high_15d,-0.05194767903774227
max_high_5d,-0.05229549620280111
max_high_10d,-0.05243553583935594
max_high_3d,-0.05259884022585739
high,-0.053381226429663316
sma_5d,-0.05370256332292474
sma_3d,-0.05371684058932018
ema_20d,-0.05384281390102347
ema_10d,-0.05389792549298239
ema_5d,-0.05391816075874941
sma_20d,-0.053957293515509465
open,-0.05397117139910799
close,-0.053993408670639856
sma_15d,-0.05415575324806382
sma_10d,-0.054214385330287454
low,-0.05457305166842955
min_low_3d,-0.054745850399037094
min_low_5d,-0.055026714184175436
min_low_10d,-0.05588159159542551
min_low_15d,-0.056239322259569985
index_return_10d,-0.061294547951149934
index_return_3d,-0.06648889835160758
index_return_30d,-0.06722947851798072
index_return_15d,-0.0687647874933534
index_return_5d,-0.0737913461086708
index_return_20d,-0.07470409154445479
