feature,importance_1d,importance_3d,importance_5d,importance_7d,importance_10d,avg_importance
parkinson_vol_10d,29,13,58,35,148,56.6
parkinson_vol_20d,31,29,67,68,0,39.0
parkinson_vol_5d,30,23,78,47,0,35.6
price_range_pct,20,31,41,49,0,28.2
earnings_q1,0,29,11,24,12,15.2
bb_upper,0,0,0,67,0,13.4
vol_regime_10d,49,13,0,0,0,12.4
price_position_3d,0,51,0,0,0,10.2
close_position,39,0,0,0,0,7.8
volume_ratio_10d,30,6,0,0,0,7.2
min_low_15d,31,0,0,0,0,6.2
volume_ratio_20d,10,13,0,0,0,4.6
earnings_q2,0,0,0,10,11,4.2
rel_return_1d,19,0,0,0,0,3.8
min_low_5d,0,18,0,0,0,3.6
body_size_pct,7,9,0,0,0,3.2
atr,0,16,0,0,0,3.2
dist_from_vwap_support_2,0,0,0,0,15,3.0
adx,10,5,0,0,0,3.0
vwap_support_1,0,0,0,4,10,2.8
volume_ratio_5d,0,11,0,0,0,2.2
dist_from_vwap_support_1,0,0,0,0,11,2.2
rel_return_30d,3,4,0,0,0,1.4
rel_return_10d,4,0,0,0,0,0.8
rel_return_20d,2,2,0,0,0,0.8
vwap_support_2,0,0,0,3,0,0.6
rel_return_15d,1,0,0,0,0,0.2
