feature,selectk_score
parkinson_vol_10d,1002.6239274445421
parkinson_vol_20d,933.1094281478837
parkinson_vol_5d,879.0873742164449
price_range_pct,647.6715889645671
body_size_pct,341.3099038308993
min_low_5d,324.6000347418195
vol_regime_10d,310.8134840919965
adx,206.4919099725509
rel_return_30d,126.27316864219539
earnings_q1,113.8321337615287
earnings_q2,94.82732706405613
rel_return_20d,92.60297655347557
atr,89.94630093564311
volume_ratio_20d,82.70808045433103
volume_ratio_5d,72.62024337089697
price_position_3d,69.30682474433205
volume_ratio_10d,67.05980399193723
