Model,Horizon (days),Threshold,Accuracy,Precision,Recall,F1 Score,AUC
LightGBM-F1Optimized,1,0.5000000000000001,0.6198211232408259,0.19523164454077485,0.5912372825730227,0.29353537822314557,0.6551385940232803
LightGBM,1,,0.6198211232408259,0.19523164454077485,0.5912372825730227,0.29353537822314557,0.6551385940232803
PyTorch,1,,0.661844008943838,0.19212158536048915,0.47779236407395254,0.2740478132647299,0.6281252610676318
PyTorch-F1Optimized,1,0.45000000000000007,0.6015973226942581,0.18221357043896108,0.5683185647084564,0.27595182130858,0.6281252610676318
LightGBM-F1Optimized,3,0.45000000000000007,0.3880619850064477,0.2683027712670619,0.8692933083176986,0.4100467782038855,0.5935496911201942
LightGBM,3,,0.5668699320263152,0.29872413256573827,0.5717561571220108,0.3924209751760365,0.5935496911201942
PyTorch,3,,0.576268222848775,0.2862955106582745,0.4903660025611245,0.3615206437377186,0.5678782412681042
PyTorch-F1Optimized,3,0.30000000000000004,0.2953613242118914,0.25159142949318186,0.95220226927544,0.39801824903837774,0.5678782412681042
LightGBM-F1Optimized,5,0.45000000000000007,0.3580310022823324,0.29947484798231067,0.9248826291079812,0.45244806347217875,0.5875841953472456
LightGBM,5,,0.5645136903947643,0.34152254975677876,0.558760764228867,0.42393188441684604,0.5875841953472456
PyTorch,5,,0.5397752226534095,0.33232645220562645,0.5993823906002862,0.4275812662308588,0.5780428726543984
PyTorch-F1Optimized,5,0.40000000000000013,0.3349052868035106,0.29406001128738946,0.941854334563531,0.4481891438231376,0.5780428726543984
LightGBM-F1Optimized,7,0.40000000000000013,0.4187324055207966,0.3355782348166952,0.9113205777527669,0.49052793659207655,0.5900547640431694
LightGBM,7,,0.5680343861821691,0.3598513611761855,0.5222519227161884,0.42610217805113687,0.5900547640431694
PyTorch,7,,0.5240652876674851,0.33604540625174745,0.5636372162821234,0.4210544753897355,0.5503165118488494
PyTorch-F1Optimized,7,0.3500000000000001,0.39418833202537207,0.33007641340223914,0.944991558806978,0.4892592884847676,0.5503165118488494
LightGBM-F1Optimized,10,0.5000000000000001,0.5100619360922398,0.3670467326820016,0.7485214419033484,0.49256039362213755,0.6063252538210405
LightGBM,10,,0.5100619360922398,0.3670467326820016,0.7485214419033484,0.49256039362213755,0.6063252538210405
PyTorch,10,,0.49696034518477245,0.35814563743713096,0.7366030268276778,0.48195749251447445,0.577272558772262
PyTorch-F1Optimized,10,0.40000000000000013,0.4366673096018802,0.3533285563176033,0.9314353819514718,0.512316245817795,0.577272558772262
