feature,importance
macd_histogram,11.12103579440023
return_180,10.302688324290806
sma_200,9.038212676692217
natr,9.034511370561528
return_90_risk_adj,7.461444535396549
di_minus_14,7.039536920727691
natr_trend,6.50857940688992
trix,5.898591213522488
return_55,5.670606519795708
cci_20,5.5996863525268745
return_ratio_90_180,4.3763161402778055
sma_return_ratio,4.353025406133991
return_365,3.9924159074478944
di_minus_change,2.8817285204547067
return_90,2.217607643958877
return_ratio_90_365,2.023288511338771
trend_strength,1.474953878354835
macd_hist_direction,1.0057708772290848
return_90_direction,0.0
trix_direction,0.0
