feature,importance
macd_histogram,268.705562710762
trix,238.03425216674805
natr,174.5949912071228
di_minus_14,118.4341561794281
return_ratio_90_180,111.7847591638565
natr_trend,101.5430318415165
return_180,101.45203500986099
sma_200,95.74027943611145
cci_20,78.5095899105072
return_55,58.26127016544342
return_90,54.63078022003174
return_90_risk_adj,51.045950412750244
di_minus_change,42.41641676425934
sma_return_ratio,22.75404930114746
return_ratio_90_365,20.610039949417114
return_365,3.632554855197668
trix_direction,0.0
return_90_direction,0.0
macd_hist_direction,0.0
trend_strength,0.0
