feature,importance
sma_200,23.587547064392485
return_365,16.76910444594107
return_55,10.689702299042468
return_180,7.783336773632603
return_90_risk_adj,7.390320258763409
trend_strength,6.861600426994311
natr,6.541433822793151
macd_histogram,6.132391449938826
di_minus_14,5.115835108125831
return_ratio_90_180,4.444331953343235
return_90,3.495525598287553
sma_return_ratio,1.18887079874505
return_ratio_90_365,0.0
trix_direction,0.0
return_90_direction,0.0
macd_hist_direction,0.0
trix,0.0
cci_20,0.0
natr_trend,0.0
di_minus_change,0.0
