feature,importance
di_minus_14,15.98179312341477
trix,10.966946917047476
natr,9.128905205122486
sma_return_ratio,8.59522852148893
cci_20,8.171456122418277
return_ratio_90_365,7.201783186301488
return_365,6.530185610877545
sma_200,5.319683667140905
di_minus_change,4.964229629860888
macd_histogram,4.0652668623982064
natr_trend,3.859588677310215
return_90_risk_adj,3.346620397279131
return_ratio_90_180,3.1521658823720338
return_90,2.9266721153353945
return_180,2.4292010063895075
return_55,2.2725797195133413
return_90_direction,0.5677890638666849
trix_direction,0.45633010326025425
trend_strength,0.06357418860246283
macd_hist_direction,0.0
