feature,importance
sma_200,2.8063673973083496
trix,2.261420488357544
return_ratio_90_180,2.1090097427368164
sma_return_ratio,1.8049328327178955
return_365,1.7684601545333862
return_180,1.7462137937545776
di_minus_14,1.6876777410507202
return_90,1.6531964540481567
return_55,1.4753355979919434
return_90_risk_adj,1.4199740886688232
macd_histogram,1.4002296924591064
di_minus_change,1.3613513708114624
natr,1.2349696159362793
return_ratio_90_365,1.2332862615585327
cci_20,1.0676119327545166
natr_trend,1.0502511262893677
macd_hist_direction,0.9290354251861572
trend_strength,0.29521918296813965
return_90_direction,0.02428993582725525
