feature,importance
sma_return_ratio,12.560921421344899
return_365,11.409540280081588
return_180,10.277056500022038
sma_200,9.381583441189012
macd_histogram,7.4266577934974585
natr,7.189119745816171
return_ratio_90_365,7.103513318743267
trix,5.875752764515059
return_55,5.654425228386828
return_90,4.245066220490628
di_minus_14,3.8919547487232125
natr_trend,3.7741494087968075
di_minus_change,3.3690090107051613
return_ratio_90_180,2.329649321242205
macd_hist_direction,2.073176457039664
cci_20,2.0462123360139217
return_90_risk_adj,1.3922120033920595
trix_direction,0.0
return_90_direction,0.0
trend_strength,0.0
