feature,importance
return_ratio_90_180,10.417163291170464
return_90_risk_adj,9.034497505431458
natr_trend,8.917748017911245
return_365,8.448352636048016
macd_histogram,8.093413438642402
cci_20,6.575368231697928
sma_200,6.259927635806227
di_minus_14,5.72979392619233
trix,5.709443153450623
return_ratio_90_365,4.868741702908696
di_minus_change,4.817145817392299
natr,4.563624269080876
return_180,4.405575249802022
return_55,4.128520073625328
sma_return_ratio,3.9887623364375586
return_90,3.5418740389180505
trend_strength,0.26742582848814284
macd_hist_direction,0.16034782620652077
trix_direction,0.06383054155946072
return_90_direction,0.00844447923035152
