feature,importance
return_365,3.8535449504852295
sma_200,3.583233594894409
di_minus_14,3.0335943698883057
return_ratio_90_180,2.9516847133636475
trix,2.9040615558624268
return_90,2.8762052059173584
macd_histogram,2.315479040145874
return_ratio_90_365,2.291131019592285
sma_return_ratio,2.2420785427093506
return_90_risk_adj,2.2409098148345947
di_minus_change,2.0667855739593506
natr_trend,2.022786855697632
return_55,1.9861971139907837
return_180,1.843511939048767
natr,1.6711634397506714
cci_20,1.5648530721664429
macd_hist_direction,0.6409173011779785
