feature,importance
return_180,16.976013016907768
di_minus_change,11.01488920030911
di_minus_14,10.822066288635977
natr_trend,9.324603335010512
natr,8.623326029156516
return_90,5.994190829497296
return_ratio_90_365,5.503503069018523
return_365,5.331205108016457
sma_200,4.814533227709552
return_90_risk_adj,3.978509162492343
cci_20,3.7712361711660947
return_55,3.7364074662412463
return_ratio_90_180,3.698068326834214
trix,3.364967057765927
macd_histogram,1.7811856127100179
sma_return_ratio,1.1045235016631827
macd_hist_direction,0.1553785112151694
trend_strength,0.005394085650087092
trix_direction,0.0
return_90_direction,0.0
