symbol,entry_date,entry_price,shares,stop_loss,initial_stop_loss,cost_basis,risk_per_share,exit_date,exit_price,exit_reason,profit_loss,return_pct
SUNPHARMA,2024-10-23,1839.35,1,-5018.261817999999,-5018.261817999999,1839.35,6857.611817999999,2024-10-28,1902.9,SELL_SIGNAL,63.55000000000018,3.4550248729170727
ICICIBANK,2024-10-16,1243.15,1,-3458.7416559999997,-3458.7416559999997,1243.15,4701.891656,2024-10-28,1292.85,SELL_SIGNAL,49.69999999999982,3.997908538792568
ULTRACEMCO,2024-10-15,11416.9,1,-31356.744187999997,-31356.744187999997,11416.9,42773.644188,2024-10-29,11112.1,SELL_SIGNAL,-304.7999999999993,-2.669726458145375
BHARTIARTL,2024-10-24,1678.45,1,-5115.546341000001,-5115.546341000001,1678.45,6793.996341000001,2024-11-25,1578.75,SELL_SIGNAL,-99.70000000000005,-5.940004170514465
SUNPHARMA,2024-11-19,1777.25,1,-6840.173165,-6840.173165,1777.25,8617.423165,2024-11-27,1749.45,SELL_SIGNAL,-27.799999999999955,-1.564214376142915
ULTRACEMCO,2024-11-04,11001.8,1,-35363.52581199999,-35363.52581199999,11001.8,46365.325811999995,2024-12-09,11814.8,SELL_SIGNAL,813.0,7.389699867294443
ULTRACEMCO,2024-12-10,11745.8,1,-39356.182228000005,-39356.182228000005,11745.8,51101.98222800001,2024-12-16,11942.5,SELL_SIGNAL,196.70000000000073,1.6746411483253651
ICICIBANK,2024-11-08,1258.85,1,-4177.367839999999,-4177.367839999999,1258.85,5436.217839999999,2024-12-16,1346.1,SELL_SIGNAL,87.25,6.930929022520554
RELIANCE,2024-10-15,1344.03,1,-3892.4990442,-3892.4990442,1344.03,5236.5290442,2025-01-10,1241.9,SELL_SIGNAL,-102.12999999999988,-7.598788717513736
ULTRACEMCO,2024-12-20,11422.8,1,-40472.808048000006,-40472.808048000006,11422.8,51895.60804800001,2025-01-29,11544.8,SELL_SIGNAL,122.0,1.0680393598767377
SUNPHARMA,2025-01-20,1778.25,1,-5162.47314,-5162.47314,1778.25,6940.72314,2025-02-01,1742.2,SELL_SIGNAL,-36.049999999999955,-2.0272740053423286
TATAMOTORS,2024-12-13,790.3,1,-3112.5175199999994,-3112.5175199999994,790.3,3902.8175199999996,2025-02-07,706.75,SELL_SIGNAL,-83.54999999999995,-10.571934708338599
BHARTIARTL,2024-12-31,1587.75,1,-5513.144324999999,-5513.144324999999,1587.75,7100.894324999999,2025-02-14,1717.05,SELL_SIGNAL,129.29999999999995,8.14359943316013
SUNPHARMA,2025-02-18,1701.6,1,-6755.079743999999,-6755.079743999999,1701.6,8456.679744,2025-02-19,1676.6,SELL_SIGNAL,-25.0,-1.4692054536906443
SUNPHARMA,2025-02-24,1639.5,1,-6762.51123,-6762.51123,1639.5,8402.01123,2025-03-03,1585.1,SELL_SIGNAL,-54.40000000000009,-3.318084781945721
AXISBANK,2024-10-15,1153.85,1,-3963.6593659999994,-3963.6593659999994,1153.85,5117.509365999999,2025-03-06,1034.1,END_OF_BACKTEST,-119.75,-10.378298739004205
ICICIBANK,2024-12-17,1333.75,1,-2990.64095,-2990.64095,1333.75,4324.39095,2025-03-06,1218.05,END_OF_BACKTEST,-115.70000000000005,-8.67478912839738
ULTRACEMCO,2025-02-01,11259.2,1,-56613.50944000001,-56613.50944000001,11259.2,67872.70944,2025-03-06,10493.5,END_OF_BACKTEST,-765.7000000000007,-6.800660792951548
RELIANCE,2025-02-12,1216.55,1,-3982.3764250000004,-3982.3764250000004,1216.55,5198.926425000001,2025-03-06,1209.6,END_OF_BACKTEST,-6.9500000000000455,-0.5712876577206071
BHARTIARTL,2025-02-17,1675.55,1,-5702.332293,-5702.332293,1675.55,7377.882293000001,2025-03-06,1626.9,END_OF_BACKTEST,-48.649999999999864,-2.9035242159290897
SBIN,2025-03-06,732.05,1,-2463.3189679999996,-2463.3189679999996,732.05,3195.3689679999998,2025-03-06,732.05,END_OF_BACKTEST,0.0,0.0
