symbol,target,model,training_time,accuracy,precision,recall,f1,auc
AXISBANK,target,lightgbm,0.5664277076721191,0.797752808988764,0.875,0.8484848484848485,0.8615384615384616,0.810935441370224
AXISBANK,target,xgboost,0.2736937999725342,0.8089887640449438,0.8888888888888888,0.8484848484848485,0.8682170542635659,0.8017127799736496
AXISBANK,target,catboost,5.845455169677734,0.7752808988764045,0.8833333333333333,0.803030303030303,0.8412698412698413,0.8241106719367589
AXISBANK,exit_signal,lightgbm,0.2445049285888672,0.3595505617977528,0.5757575757575758,0.3064516129032258,0.4,0.3975507765830346
AXISBANK,exit_signal,xgboost,0.20708060264587402,0.2247191011235955,0.3333333333333333,0.11290322580645161,0.1686746987951807,0.24133811230585425
AXISBANK,exit_signal,catboost,1.772003412246704,0.38202247191011235,0.6206896551724138,0.2903225806451613,0.3956043956043956,0.4193548387096774
BHARTIARTL,target,lightgbm,0.42316555976867676,0.55,0.5853658536585366,0.5581395348837209,0.5714285714285714,0.600879949717159
BHARTIARTL,target,xgboost,0.14750409126281738,0.55,0.5777777777777777,0.6046511627906976,0.5909090909090909,0.5795097423004401
BHARTIARTL,target,catboost,3.3405866622924805,0.6125,0.6363636363636364,0.6511627906976745,0.6436781609195402,0.6304211187932118
BHARTIARTL,exit_signal,lightgbm,0.24699974060058594,0.6875,0.4857142857142857,0.7083333333333334,0.576271186440678,0.6785714285714287
BHARTIARTL,exit_signal,xgboost,0.15400028228759766,0.7375,0.5789473684210527,0.4583333333333333,0.5116279069767442,0.6205357142857143
BHARTIARTL,exit_signal,catboost,1.8827800750732422,0.65,0.4375,0.5833333333333334,0.5,0.7131696428571429
HDFCBANK,target,lightgbm,0.2530367374420166,0.8446601941747572,1.0,0.8446601941747572,0.9157894736842105,
HDFCBANK,target,xgboost,0.15001487731933594,0.8932038834951457,1.0,0.8932038834951457,0.9435897435897436,
HDFCBANK,target,catboost,1.966604232788086,0.9223300970873787,1.0,0.9223300970873787,0.9595959595959596,
HDFCBANK,exit_signal,lightgbm,0.2833826541900635,0.5631067961165048,1.0,0.5631067961165048,0.7204968944099379,
HDFCBANK,exit_signal,xgboost,0.20158600807189941,0.04854368932038835,1.0,0.04854368932038835,0.09259259259259259,
HDFCBANK,exit_signal,catboost,1.8842809200286865,0.07766990291262135,1.0,0.07766990291262135,0.14414414414414414,
ICICIBANK,target,lightgbm,0.26399660110473633,0.84375,1.0,0.8295454545454546,0.906832298136646,0.9957386363636364
ICICIBANK,target,xgboost,0.3673553466796875,0.8854166666666666,1.0,0.875,0.9333333333333333,0.9971590909090909
ICICIBANK,target,catboost,3.3153226375579834,0.8020833333333334,1.0,0.7840909090909091,0.8789808917197452,0.9971590909090909
ICICIBANK,exit_signal,lightgbm,0.40088677406311035,0.1875,1.0,0.13333333333333333,0.23529411764705882,0.38055555555555554
ICICIBANK,exit_signal,xgboost,0.2356095314025879,0.10416666666666667,1.0,0.044444444444444446,0.0851063829787234,0.2685185185185185
ICICIBANK,exit_signal,catboost,2.9584195613861084,0.08333333333333333,1.0,0.022222222222222223,0.043478260869565216,0.837962962962963
ITC,target,lightgbm,0.22999978065490723,0.7623762376237624,1.0,0.7623762376237624,0.8651685393258427,
ITC,target,xgboost,0.21200013160705566,0.8712871287128713,1.0,0.8712871287128713,0.9312169312169312,
ITC,target,catboost,1.9235856533050537,0.8514851485148515,1.0,0.8514851485148515,0.9197860962566845,
ITC,exit_signal,lightgbm,0.2539980411529541,0.48514851485148514,1.0,0.48514851485148514,0.6533333333333333,
ITC,exit_signal,xgboost,0.1490001678466797,0.04950495049504951,1.0,0.04950495049504951,0.09433962264150944,
ITC,exit_signal,catboost,1.8709518909454346,0.09900990099009901,1.0,0.09900990099009901,0.18018018018018017,
RELIANCE,target,lightgbm,0.25299859046936035,0.6086956521739131,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.4895833333333333
RELIANCE,target,xgboost,0.29648756980895996,0.6413043478260869,0.7464788732394366,0.7794117647058824,0.762589928057554,0.6893382352941176
RELIANCE,target,catboost,9.859622478485107,0.6739130434782609,0.75,0.8382352941176471,0.7916666666666666,0.6948529411764707
RELIANCE,exit_signal,lightgbm,0.29143309593200684,0.2717391304347826,0.9166666666666666,0.14285714285714285,0.24719101123595505,0.6445887445887446
RELIANCE,exit_signal,xgboost,0.15799903869628906,0.17391304347826086,0.5454545454545454,0.07792207792207792,0.13636363636363635,0.19913419913419914
RELIANCE,exit_signal,catboost,2.3986096382141113,0.43478260869565216,1.0,0.3246753246753247,0.49019607843137253,0.7437229437229438
SBIN,target,lightgbm,0.4059164524078369,0.7222222222222222,0.7945205479452054,0.8529411764705882,0.8226950354609929,0.7336229946524064
SBIN,target,xgboost,0.21450138092041016,0.7444444444444445,0.7922077922077922,0.8970588235294118,0.8413793103448276,0.8268716577540107
SBIN,target,catboost,2.3792030811309814,0.6777777777777778,0.9333333333333333,0.6176470588235294,0.7433628318584071,0.8479278074866311
SBIN,exit_signal,lightgbm,0.27875351905822754,0.4666666666666667,1.0,0.23809523809523808,0.38461538461538464,0.850676072898295
SBIN,exit_signal,xgboost,0.16099929809570312,0.3,0.0,0.0,0.0,0.3292181069958848
SBIN,exit_signal,catboost,2.8263511657714844,0.3111111111111111,1.0,0.015873015873015872,0.03125,0.6346266901822457
SUNPHARMA,target,lightgbm,0.3711130619049072,0.611764705882353,0.8709677419354839,0.48214285714285715,0.6206896551724138,0.770628078817734
SUNPHARMA,target,xgboost,0.27049875259399414,0.6470588235294118,0.8095238095238095,0.6071428571428571,0.6938775510204082,0.7629310344827586
SUNPHARMA,target,catboost,6.545246124267578,0.611764705882353,0.8484848484848485,0.5,0.6292134831460674,0.7653940886699506
SUNPHARMA,exit_signal,lightgbm,0.32200098037719727,0.5058823529411764,0.41025641025641024,0.45714285714285713,0.43243243243243246,0.4957142857142858
SUNPHARMA,exit_signal,xgboost,0.16652274131774902,0.5529411764705883,0.0,0.0,0.0,0.19514285714285715
SUNPHARMA,exit_signal,catboost,2.594277858734131,0.6352941176470588,1.0,0.11428571428571428,0.20512820512820512,0.4702857142857143
TATAMOTORS,target,lightgbm,0.3839988708496094,0.35802469135802467,0.2916666666666667,0.9545454545454546,0.44680851063829785,0.6263482280431434
TATAMOTORS,target,xgboost,0.35525012016296387,0.43209876543209874,0.3181818181818182,0.9545454545454546,0.4772727272727273,0.6009244992295839
TATAMOTORS,target,catboost,2.0965070724487305,0.345679012345679,0.29333333333333333,1.0,0.4536082474226804,0.7507704160246533
TATAMOTORS,exit_signal,lightgbm,0.4680016040802002,0.5679012345679012,0.8888888888888888,0.19047619047619047,0.3137254901960784,0.7338217338217339
TATAMOTORS,exit_signal,xgboost,0.17450404167175293,0.5061728395061729,1.0,0.047619047619047616,0.09090909090909091,0.5158730158730158
TATAMOTORS,exit_signal,catboost,2.1224148273468018,0.5185185185185185,1.0,0.07142857142857142,0.13333333333333333,0.6260683760683761
TITAN,target,lightgbm,0.3089933395385742,0.5180722891566265,0.7222222222222222,0.2708333333333333,0.3939393939393939,0.6651785714285715
TITAN,target,xgboost,0.18351435661315918,0.5783132530120482,0.7096774193548387,0.4583333333333333,0.5569620253164557,0.606547619047619
TITAN,target,catboost,2.942518472671509,0.5783132530120482,0.7241379310344828,0.4375,0.5454545454545454,0.6321428571428571
TITAN,exit_signal,lightgbm,0.31177234649658203,0.27710843373493976,0.2727272727272727,0.3,0.2857142857142857,0.3148255813953488
TITAN,exit_signal,xgboost,0.16399407386779785,0.25301204819277107,0.25,0.275,0.2619047619047619,0.2494186046511628
TITAN,exit_signal,catboost,2.576430320739746,0.3493975903614458,0.3541666666666667,0.425,0.38636363636363635,0.2947674418604651
ULTRACEMCO,target,lightgbm,0.5865330696105957,0.8152173913043478,0.9827586206896551,0.7808219178082192,0.8702290076335878,0.8644556596971881
ULTRACEMCO,target,xgboost,0.1839916706085205,0.8260869565217391,0.9830508474576272,0.7945205479452054,0.8787878787878788,0.8824801730353281
ULTRACEMCO,target,catboost,7.5441460609436035,0.8043478260869565,0.9230769230769231,0.821917808219178,0.8695652173913043,0.8723864455659698
ULTRACEMCO,exit_signal,lightgbm,0.2949864864349365,0.2826086956521739,0.6470588235294118,0.2894736842105263,0.4,0.1924342105263158
ULTRACEMCO,exit_signal,xgboost,0.16900229454040527,0.15217391304347827,0.4375,0.09210526315789473,0.15217391304347827,0.1800986842105263
ULTRACEMCO,exit_signal,catboost,2.0920138359069824,0.2826086956521739,0.65625,0.27631578947368424,0.3888888888888889,0.24095394736842107
